RestingMembranePotential,SpikeAmplitude,Species,Strain,ElectrodeType,PrepType,NeuronType,Title,PubYear,PubmedLink,DataTableLinks,ArticleLink,LastAuthor
-64.8,,Mice,C57BL,Patch-clamp,in vitro,Cerebellum granule cell,Altered neuronal excitability in cerebellar granule cells of mice lacking calretinin.,2003,http://www.ncbi.nlm.nih.gov/pubmed/14561859/,http://neuroelectro.org/data_table/2695/,http://neuroelectro.org/article/36919/,Schiffmann SN
-77,,Mice,C57BL,Patch-clamp,cell culture,Cerebellum granule cell,Impaired cerebellar long-term potentiation in type I adenylyl cyclase mutant mice.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9655507/,http://neuroelectro.org/data_table/21965/,http://neuroelectro.org/article/79142/,Linden DJ
,,Mice,C57BL,Patch-clamp,in vitro,Cerebellum Purkinje cell,The leaner P/Q-type calcium channel mutation renders cerebellar Purkinje neurons hyper-excitable and eliminates Ca2+-Na+ spike bursts.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18093175/,http://neuroelectro.org/data_table/17398/,http://neuroelectro.org/article/5177/,Friel DD
-58.55,,Mice,C57BL,Patch-clamp,in vitro,Cerebellum Purkinje cell,Aminopyridines correct early dysfunction and delay neurodegeneration in a mouse model of spinocerebellar ataxia type 1.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21849540/,http://neuroelectro.org/data_table/1575/,http://neuroelectro.org/article/9102/,Schiffmann SN
,,Mice,C57BL,Patch-clamp,in vitro,Cerebellum Purkinje cell,Purkinje-cell-restricted restoration of Kv3.3 function restores complex spikes and rescues motor coordination in Kcnc3 mutants.,2008,http://www.ncbi.nlm.nih.gov/pubmed/18448641/,http://neuroelectro.org/data_table/2069/,http://neuroelectro.org/article/9763/,Joho RH
,,Mice,C57BL,Patch-clamp,in vitro,Cerebellum Purkinje cell,Robustness of burst firing in dissociated purkinje neurons with acute or long-term reductions in sodium conductance.,2005,http://www.ncbi.nlm.nih.gov/pubmed/15814781/,http://neuroelectro.org/data_table/2484/,http://neuroelectro.org/article/9921/,Bean BP
,77.3,Rats,Sprague-Dawley,Patch-clamp,in vitro,Cerebellum Purkinje cell,Lobule-specific membrane excitability of cerebellar Purkinje cells.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22083600/,http://neuroelectro.org/data_table/8376/,http://neuroelectro.org/article/29594/,Kim SJ
,79.3,Mice,C57BL,Patch-clamp,in vitro,Cerebellum Purkinje cell,Submillisecond optical reporting of membrane potential in situ using a neuronal tracer dye.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19625510/,http://neuroelectro.org/data_table/1949/,http://neuroelectro.org/article/35673/,DiGregorio DA
,,Mice,C57BL,Patch-clamp,in vitro,Cerebellum Purkinje cell,Impaired synaptic plasticity and cAMP response element-binding protein activation in Ca2+/calmodulin-dependent protein kinase type IV/Gr-deficient mice.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10964952/,http://neuroelectro.org/data_table/3119/,http://neuroelectro.org/article/37464/,Chatila TA
,,Mice,C57BL,Patch-clamp,cell culture,Cerebellum Purkinje cell,Activation of presynaptic cAMP-dependent protein kinase is required for induction of cerebellar long-term potentiation.,1999,http://www.ncbi.nlm.nih.gov/pubmed/10575019/,http://neuroelectro.org/data_table/3226/,http://neuroelectro.org/article/37591/,Ahn S
,,Mice,C57BL,Patch-clamp,in vitro,Cerebellum Purkinje cell,Selective and regulated gene expression in murine Purkinje cells by in utero electroporation.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22775058/,http://neuroelectro.org/data_table/16674/,http://neuroelectro.org/article/72982/,Yuzaki M
-69,,Mice,C57BL,Patch-clamp,cell culture,Cerebellum Purkinje cell,Impaired cerebellar long-term potentiation in type I adenylyl cyclase mutant mice.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9655507/,http://neuroelectro.org/data_table/21965/,http://neuroelectro.org/article/79142/,Linden DJ
,77.11,Rats,Wistar,Patch-clamp,in vitro,Cerebellum Purkinje cell,Membrane excitability and fear conditioning in cerebellar Purkinje cell.,2006,http://www.ncbi.nlm.nih.gov/pubmed/16580140/,http://neuroelectro.org/data_table/25316/,http://neuroelectro.org/article/83523/,Strata P
-57.5,,Mice,C57BL,Patch-clamp,in vitro,Cochlea hair cell inner,Genetic deletion of SK2 channels in mouse inner hair cells prevents the developmental linearization in the Ca2+ dependence of exocytosis.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17627990/,http://neuroelectro.org/data_table/7957/,http://neuroelectro.org/article/9788/,Marcotti W
,55,Rats,Sprague-Dawley,Patch-clamp,in vitro,Cochlear nucleus (dorsal) cartwheel cell,Two distinct types of inhibition mediated by cartwheel cells in the dorsal cochlear nucleus.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19474167/,http://neuroelectro.org/data_table/219/,http://neuroelectro.org/article/33885/,Manis PB
,76,Rats,Sprague-Dawley,Patch-clamp,in vitro,Cochlear nucleus (dorsal) pyramidal neuron,Two distinct types of inhibition mediated by cartwheel cells in the dorsal cochlear nucleus.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19474167/,http://neuroelectro.org/data_table/219/,http://neuroelectro.org/article/33885/,Manis PB
-64.4,,Mice,C57BL,Patch-clamp,in vitro,Cochlear nucleus (ventral) bushy cell,The magnitudes of hyperpolarization-activated and low-voltage-activated potassium currents co-vary in neurons of the ventral cochlear nucleus.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21562186/,http://neuroelectro.org/data_table/68/,http://neuroelectro.org/article/4443/,Oertel D
-64.1,,Mice,C57BL,Patch-clamp,in vitro,Cochlear nucleus (ventral) multipolar T cell,The magnitudes of hyperpolarization-activated and low-voltage-activated potassium currents co-vary in neurons of the ventral cochlear nucleus.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21562186/,http://neuroelectro.org/data_table/68/,http://neuroelectro.org/article/4443/,Oertel D
-64.5,,Mice,C57BL,Patch-clamp,in vitro,Cochlear nucleus (ventral) octopus cell,The magnitudes of hyperpolarization-activated and low-voltage-activated potassium currents co-vary in neurons of the ventral cochlear nucleus.,2011,http://www.ncbi.nlm.nih.gov/pubmed/21562186/,http://neuroelectro.org/data_table/68/,http://neuroelectro.org/article/4443/,Oertel D
-62,,Rats,Wistar,Patch-clamp,in vitro,Dentate gyrus basket cell,Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9497429/,http://neuroelectro.org/data_table/1324/,http://neuroelectro.org/article/23163/,Spruston N
-67.4,84.3,Mice,C57BL,Patch-clamp,in vitro,Dentate gyrus basket cell,Tuning afferent synapses of hippocampal interneurons by neuropeptide Y.,2011,http://www.ncbi.nlm.nih.gov/pubmed/20043282/,http://neuroelectro.org/data_table/15535/,http://neuroelectro.org/article/71631/,Kokaia M
-57.5,72.9,Mice,C57BL,Patch-clamp,in vitro,Dentate gyrus basket cell,Altered profile of basket cell afferent synapses in hyper-excitable dentate gyrus revealed by optogenetic and two-pathway stimulations.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22512307/,http://neuroelectro.org/data_table/19541/,http://neuroelectro.org/article/76263/,Kokaia M
-75,,Rats,Wistar,Patch-clamp,in vitro,Dentate gyrus granule cell,Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9497429/,http://neuroelectro.org/data_table/1324/,http://neuroelectro.org/article/23163/,Spruston N
-77,,Rats,Sprague-Dawley,Sharp,in vitro,Dentate gyrus granule cell,Reduced inhibition of dentate granule cells in a model of temporal lobe epilepsy.,2003,http://www.ncbi.nlm.nih.gov/pubmed/12657704/,http://neuroelectro.org/data_table/2789/,http://neuroelectro.org/article/26468/,Buckmaster PS
-75,58,Rats,Sprague-Dawley,Patch-clamp,in vitro,Dentate gyrus granule cell,Calbindin-D28k content and firing pattern of hippocampal granule cells in amygdala-kindled rats: a perforated patch-clamp study.,2005,http://www.ncbi.nlm.nih.gov/pubmed/15680950/,http://neuroelectro.org/data_table/26843/,http://neuroelectro.org/article/31863/,Kral T
-79,,Mice,C57BL,Patch-clamp,in vitro,Dentate gyrus granule cell,Enhanced tonic GABA current in normotopic and hilar ectopic dentate granule cells after pilocarpine-induced status epilepticus.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19474175/,http://neuroelectro.org/data_table/221/,http://neuroelectro.org/article/32693/,Nadler JV
-77,74.9,Rats,Wistar,Patch-clamp,in vitro,Dentate gyrus granule cell,Effect of adrenalectomy on membrane properties and synaptic potentials in rat dentate granule cells.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11160504/,http://neuroelectro.org/data_table/1033/,http://neuroelectro.org/article/34581/,Karten Y
-70,,Rats,Sprague-Dawley,Sharp,in vivo,Dentate gyrus granule cell,In vivo intracellular analysis of granule cell axon reorganization in epileptic rats.,1999,http://www.ncbi.nlm.nih.gov/pubmed/10036272/,http://neuroelectro.org/data_table/1241/,http://neuroelectro.org/article/34757/,Dudek FE
-71,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Dentate gyrus granule cell,Increased excitatory synaptic input to granule cells from hilar and CA3 regions in a rat model of temporal lobe epilepsy.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22279204/,http://neuroelectro.org/data_table/1477/,http://neuroelectro.org/article/34984/,Buckmaster PS
,,Macaca mulatta,,,in vitro,Dentate gyrus granule cell,Stimulus and potassium-induced epileptiform activity in the human dentate gyrus from patients with and without hippocampal sclerosis.,2004,http://www.ncbi.nlm.nih.gov/pubmed/15548657/,http://neuroelectro.org/data_table/2545/,http://neuroelectro.org/article/36691/,Lehmann TN
-75.5,77.5,Mice,C57BL,Sharp,in vitro,Dentate gyrus granule cell,Physiological and morphological characterization of dentate granule cells in the p35 knock-out mouse hippocampus: evidence for an epileptic circuit.,2004,http://www.ncbi.nlm.nih.gov/pubmed/15483119/,http://neuroelectro.org/data_table/2565/,http://neuroelectro.org/article/36709/,Schwartzkroin PA
-71.5,74.6,Rats,Sprague-Dawley,Sharp,in vitro,Dentate gyrus granule cell,Granule-like neurons at the hilar/CA3 border after status epilepticus and their synchrony with area CA3 pyramidal cells: functional implications of seizure-induced neurogenesis.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10934264/,http://neuroelectro.org/data_table/3129/,http://neuroelectro.org/article/37475/,Sollas AL
-77,73,,,Sharp,in vivo,Dentate gyrus granule cell,Testing the disinhibition hypothesis of epileptogenesis in vivo and during spontaneous seizures.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10934273/,http://neuroelectro.org/data_table/3136/,http://neuroelectro.org/article/37479/,Wong EH
-73.8,,Mice,C57BL,Patch-clamp,in vitro,Dentate gyrus granule cell,Rapid reversal of impaired inhibitory and excitatory transmission but not spine dysgenesis in a mouse model of mental retardation.,2012,http://www.ncbi.nlm.nih.gov/pubmed/22124149/,http://neuroelectro.org/data_table/10253/,http://neuroelectro.org/article/43536/,Jefferys JG
-75.3,109.7,Rats,Sprague-Dawley,Patch-clamp,in vitro,Dentate gyrus granule cell,Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,1997,http://www.ncbi.nlm.nih.gov/pubmed/9151716/,http://neuroelectro.org/data_table/14765/; http://neuroelectro.org/data_table/14766/; http://neuroelectro.org/data_table/14767/,http://neuroelectro.org/article/64862/,Lewis DV
-74.9,93.8,Rats,Fischer 344,Patch-clamp,in vitro,Dentate gyrus granule cell,Dentate filter function is altered in a proepileptic fashion during aging.,2007,http://www.ncbi.nlm.nih.gov/pubmed/17521341/,http://neuroelectro.org/data_table/17704/,http://neuroelectro.org/article/74151/,Williamson A
-62.8,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Dentate gyrus granule cell,Experimental early-life febrile seizures induce changes in GABA(A) R-mediated neurotransmission in the dentate gyrus.,2012,http://www.ncbi.nlm.nih.gov/pubmed/23030508/,http://neuroelectro.org/data_table/19409/,http://neuroelectro.org/article/76123/,Rigo JM
-66,,Rats,Wistar,Patch-clamp,in vitro,Dentate gyrus granule cell,Heterogeneous populations of cells mediate spontaneous synchronous bursting in the developing hippocampus through a frequency-dependent mechanism.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10799755/,http://neuroelectro.org/data_table/22053/,http://neuroelectro.org/article/79240/,Sanchez-Andres JV
-65,,Rats,Wistar,Patch-clamp,in vitro,Dentate gyrus hilar cell,Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9497429/,http://neuroelectro.org/data_table/1324/,http://neuroelectro.org/article/23163/,Spruston N
-68,,Guinea Pigs,Guinea Pigs,Sharp,in vitro,Dentate gyrus hilar cell,Effects of serotonin through serotonin1A and serotonin4 receptors on inhibition in the guinea-pig dentate gyrus in vitro.,1997,http://www.ncbi.nlm.nih.gov/pubmed/9174070/,http://neuroelectro.org/data_table/25607/,http://neuroelectro.org/article/33558/,Misgeld U
-52,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Dentate gyrus hilar cell,Reduced excitatory drive onto interneurons in the dentate gyrus after status epilepticus.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11245688/,http://neuroelectro.org/data_table/3062/,http://neuroelectro.org/article/37390/,Dingledine R
-55.8,57.9,Rats,Sprague-Dawley,Patch-clamp,in vitro,Dentate gyrus hilar cell,Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,1997,http://www.ncbi.nlm.nih.gov/pubmed/9151716/,http://neuroelectro.org/data_table/14765/; http://neuroelectro.org/data_table/14766/; http://neuroelectro.org/data_table/14767/,http://neuroelectro.org/article/64862/,Lewis DV
-62,,Rats,Wistar,Patch-clamp,in vitro,Dentate gyrus mossy cell,Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9497429/,http://neuroelectro.org/data_table/1324/,http://neuroelectro.org/article/23163/,Spruston N
-67,,Rats,Wistar,Patch-clamp,in vitro,Dentate gyrus mossy cell,Heterogeneous populations of cells mediate spontaneous synchronous bursting in the developing hippocampus through a frequency-dependent mechanism.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10799755/,http://neuroelectro.org/data_table/22053/,http://neuroelectro.org/article/79240/,Sanchez-Andres JV
,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Dorsal motor nucleus of vagus motor neuron,Electrophysiological and morphological heterogeneity of rat dorsal vagal neurones which project to specific areas of the gastrointestinal tract.,1999,http://www.ncbi.nlm.nih.gov/pubmed/10332099/,http://neuroelectro.org/data_table/8234/; http://neuroelectro.org/data_table/8235/,http://neuroelectro.org/article/25379/,Travagli RA
-48,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Dorsal motor nucleus of vagus motor neuron,Selective enhancement of synaptic inhibition by hypocretin (orexin) in rat vagal motor neurons: implications for autonomic regulation.,2003,http://www.ncbi.nlm.nih.gov/pubmed/12736355/,http://neuroelectro.org/data_table/2773/,http://neuroelectro.org/article/37027/,Smith BN
-45,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Dorsal motor nucleus of vagus motor neuron,Cannabinoids suppress synaptic input to neurones of the rat dorsal motor nucleus of the vagus nerve.,2004,http://www.ncbi.nlm.nih.gov/pubmed/15272041/,http://neuroelectro.org/data_table/10606/,http://neuroelectro.org/article/44629/,Smith BN
,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Dorsal motor nucleus of vagus motor neuron,Morphological differences between planes of section do not influence the electrophysiological properties of identified rat dorsal motor nucleus of the vagus neurons.,2004,http://www.ncbi.nlm.nih.gov/pubmed/15019563/,http://neuroelectro.org/data_table/25372/,http://neuroelectro.org/article/83612/,Travagli RA
-57.9,74,Rats,Wistar,Patch-clamp,in vitro,Dorsal motor nucleus of vagus motor neuron,Substance P post-synaptically potentiates glutamate-induced currents in dorsal vagal neurons.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9729302/,http://neuroelectro.org/data_table/26112/,http://neuroelectro.org/article/84575/,Puizillout JJ
-51.6,89.3,Rats,Wistar,Patch-clamp,cell culture,Dorsal root ganglion cell,A cold- and menthol-activated current in rat dorsal root ganglion neurones: properties and role in cold transduction.,2002,http://www.ncbi.nlm.nih.gov/pubmed/12456837/,http://neuroelectro.org/data_table/7899/,http://neuroelectro.org/article/8919/,Pluteanu F
-53.5,,Rats,Sprague-Dawley,Patch-clamp,cell culture,Dorsal root ganglion cell,Increased excitability of afferent neurons innervating rat urinary bladder after chronic bladder inflammation.,1999,http://www.ncbi.nlm.nih.gov/pubmed/10341262/,http://neuroelectro.org/data_table/3276/,http://neuroelectro.org/article/29751/,de Groat WC
-56,,Rats,Sprague-Dawley,Patch-clamp,in vitro,Dorsal root ganglion cell,Subclassified acutely dissociated cells of rat DRG: histochemistry and patterns of capsaicin- proton- and ATP-activated currents.,2000,http://www.ncbi.nlm.nih.gov/pubmed/11067979/,http://neuroelectro.org/data_table/1073/,http://neuroelectro.org/article/30789/,Cooper BY
,113.2,Rats,Sprague-Dawley,Patch-clamp,cell culture,Dorsal root ganglion cell,Capsaicin inhibits activation of voltage-gated sodium currents in capsaicin-sensitive trigeminal ganglion neurons.,2001,http://www.ncbi.nlm.nih.gov/pubmed/11160509/,http://neuroelectro.org/data_table/1025/,http://neuroelectro.org/article/34580/,Simon SA
,,Mice,C57BL,Patch-clamp,cell culture,Dorsal root ganglion cell,Subthreshold oscillations induced by spinal nerve injury in dissociated muscle and cutaneous afferents of mouse DRG.,2002,http://www.ncbi.nlm.nih.gov/pubmed/11929919/,http://neuroelectro.org/data_table/11664/,http://neuroelectro.org/article/55445/,Kocsis JD
-53,93.2,Rats,Wistar,Patch-clamp,cell culture,DRG temperature cell,A cold- and menthol-activated current in rat dorsal root ganglion neurones: properties and role in cold transduction.,2002,http://www.ncbi.nlm.nih.gov/pubmed/12456837/,http://neuroelectro.org/data_table/7899/,http://neuroelectro.org/article/8919/,Pluteanu F
-60,90,Mice,C57BL,Patch-clamp,cell culture,DRG temperature cell,Characteristics and physiological role of hyperpolarization activated currents in mouse cold thermoreceptors.,2009,http://www.ncbi.nlm.nih.gov/pubmed/19273581/,http://neuroelectro.org/data_table/10567/,http://neuroelectro.org/article/44519/,Viana F
-60,,Rats,Sprague-Dawley,Sharp,in vitro,Entorhinal cortex layer IV neuron,Responses of deep entorhinal cortex are epileptiform in an electrogenic rat model of chronic temporal lobe epilepsy.,1998,http://www.ncbi.nlm.nih.gov/pubmed/9658044/,http://neuroelectro.org/data_table/1297/,http://neuroelectro.org/article/27974/,Lothman EW
-65,65,Guinea Pigs,Guinea Pigs,Sharp,in vitro,Globus pallidus principal cell,Electrophysiology of globus pallidus neurons in vitro.,1994,http://www.ncbi.nlm.nih.gov/pubmed/7807199/,,http://neuroelectro.org/article/32143/,Llinás R
-66.3,73.6,Rats,Wistar,Patch-clamp,in vitro,Globus pallidus principal cell,Electrophysiological and morphological characteristics of three subtypes of rat globus pallidus neurone in vitro.,2000,http://www.ncbi.nlm.nih.gov/pubmed/10970430/,http://neuroelectro.org/data_table/11103/,http://neuroelectro.org/article/45763/,Stanford IM
-63,,Mice,C57BL,Patch-clamp,in vitro,Hippocampus CA1 basket cell,Transition to seizures in the isolated immature mouse hippocampus: a switch from domit phasic inhibition to domit phasic excitation.,2008,http://www.ncbi.nlm.nih.gov/pubmed/17991696/,http://neuroelectro.org/data_table/8047/,http://neuroelectro.org/article/11195/,Carlen PL
,,Rats,Wistar,Patch-clamp,in vitro,Hippocampus CA1 basket cell,Differences in subthreshold resoce of hippocampal pyramidal cells and interneurons: the role of h-current and passive membrane characteristics.,2010,http://www.ncbi.nlm.nih.gov/pubmed/20421280/,http://neuroelectro.org/data_table/8283/,http://neuroelectro.org/article/27366/,Hájos N
-66.2,,Guinea Pigs,Guinea Pigs,Sharp,in vitro,Hippocampus CA1 basket cell,Temporal overlap of excitatory and inhibitory afferent input in guinea-pig CA1 pyramidal cells.,1999,http://www.ncbi.nlm.nih.gov/pubmed/10087347/,http://neuroelectro.org/data_table/8497/,http://neuroelectro.org/article/33579/,Stelzer A
